name,price,id
Quartzy n°3 Necklace,2045.0,
Glen gold Ring,390.0,
Flora morga Earrings,890.0,
Gégé diamant Bracelet,250.0,
Dye gold Earrings,190.0,
Raya 70 n°4 Ring,1820.0,
Bee moon Necklace,380.0,
131A Earrings,1310.0,
Kerry Necklace,690.0,
Cindy emer Earrings,260.0,
24F n°2 Earrings,2220.0,
Maxy D Necklace,310.0,
Galy Ring,790.0,
Buma lapis Earrings,310.0,
Arlo Sautoir,510.0,
Punch Ring,3180.0,
67J n°1 Earrings,900.0,
Avner green Ring,990.0,
Lulu T. Necklace,380.0,
Lisbeth Earrings,1760.0,
Dale Necklace,2030.0,
Verde Bracelet,1840.0,
Tena white aqua Earrings,610.0,
Rice Necklace,1550.0,
Todd Ring,835.0,
Dudley Necklace,620.0,
Dudd Earrings,760.0,
Torin topaze Ring,1960.0,
Gil Bracelet,155.0,
Riv 131 morga Necklace,2310.0,
Abel men Bracelet,170.0,
Lapis Ring,2580.0,
Hoody Necklace,815.0,
Haron Bracelet,295.0,
Chander 161 n°1 Earrings,2110.0,
Ruth Ring,1250.0,
Silvio Bracelet,230.0,
Milton Necklace,595.0,
Jasper Ring,1930.0,
Aya Earrings,900.0,
Billy men Bracelet,310.0,
Billy women Bracelet,270.0,
Chains Necklace,840.0,
Philoe men Bracelet,255.0,
Philoe women Bracelet,220.0,
Amos n°1 Ring,1740.0,
Navy Necklace,1230.0,
Pepper n°2 Earrings,1230.0,
Abel women Bracelet,155.0,
Silas n°2 Ring,1880.0,
Case n°8 Sautoir,480.0,
Keith pink Earring,790.0,
Adi Ring,4110.0,
Handie Necklace,715.0,
Artusi large black Bracelet,570.0,
Sofia white Necklace,1290.0,
Keith white Earring,880.0,880
Ika Earrings,920.0,
Water 57J n°5 Ring,2690.0,
Moony Earring,1220.0,
Norman Earrings,1725.0,
Mini moon Necklace,1300.0,
Paola t. Earrings,1625.0,
Cordoue 43 Ring,2590.0,
Kiwa Earrings,415.0,
Bonie brun Ring,720.0,
Isao Earrings,1310.0,
Artusi small gold Bracelet,315.0,
Elvis Ring,2420.0,
Lola D. Earring,390.0,
Flora morga Ring,635.0,
Lola T. Earring,390.0,
Flora morga Bracelet,2620.0,
Josie black Earrings,720.0,
Ravi Ring,1630.0,
Iris Necklace,980.0,
Sage Earrings,1820.0,
Bonie morga Ring,705.0,
Bonie pink Ring,720.0,
Rosie Necklace,880.0,880
73S n°11 Earrings,1600.0,
Curtis Bracelet,690.0,
Bonie Perle Ring,650.0,
Mitch perle Necklace,825.0,
Keith Blue Earring,790.0,
Eden black Earrings,360.0,
Bonie émeraude Ring,760.0,
Artusi large gold Bracelet,570.0,
Julian blue Necklace,1985.0,
Peony Earrings,3680.0,
Vivia Ring,885.0,
Suny Earrings,550.0,
Coeur perle Necklace,1250.0,
Josie white Earrings,720.0,
Nine Sun Ring,650.0,
Artusi small black Bracelet,315.0,
Sofia violet Necklace,750.0,
Lumi violet Earrings,500.0,
Water 154 n°2 Ring,2580.0,
Sofia green Necklace,750.0,
Lumi green Earrings,500.0,
Lokki black Necklace,490.0,
Cameo n°6 Ring,1640.0,
Faith Ring,2600.0,
Jim Necklace,230.0,
Hube Ring,470.0,
Limi n°2 Necklace,3120.0,
Cordoue 43 Ring,2590.0,
Daisy Bracelet,3060.0,
Snow Necklace,1650.0,
Ely Earrings,1190.0,
Flavie Necklace,220.0,
Fifi Earrings,550.0,
Early Bracelet,1190.0,
Water 112 n°1 Ring,3270.0,
73J n°5 Earrings,3470.0,
Gin Ring,1880.0,
Ema multi Earrings,1110.0,
Ema multi Necklace,520.0,
Ema multi Ring,565.0,
Nao small C. Necklace,470.0,
Lilla Necklace,480.0,
Avner d. Ring,1070.0,
Lumi white Earrings,730.0,
Play ruby Earrings,420.0,
June blue Necklace,580.0,
Coeur Ring,120.0,
Bloom Earrings,2690.0,
Bubble blue Necklace,490.0,
Bye moonstone Earrings,290.0,
Water 154 n°3 Ring,2580.0,
170M n°2 Earrings,1260.0,
Momo Earrings,1400.0,
Eki gold Ring,790.0,
Wal n°4 Necklace,1780.0,
Lokki white Necklace,490.0,
Fish n°1 L. Necklace,1190.0,
Dila n°2 Ring,2620.0,
Play flower Earrings,420.0,
Lys Necklace,1920.0,
Bob n°5 Ring,2710.0,
70S n°6 Earrings,1190.0,
June pink Necklace,580.0,
Nolan Earrings,805.0,
Zirca n°1 Ring,1760.0,
Boat Bracelet,690.0,
Water 57J n°1 Ring,2690.0,
Olive Necklace,1080.0,
Mina Earrings,1770.0,
Kriss Ring,325.0,
Beams moon Earrings,550.0,
Scotty pink Necklace,1200.0,
Water 86 Ring,2990.0,
Leeba Necklace,650.0,
Hope Earrings,1240.0,
Rome Ring,1690.0,
Kai gold Earrings,1440.0,
Palm Necklace,2300.0,
Maeva Bracelet,830.0,
Fizz Bracelet,390.0,
Yoni Earrings,740.0,
Dahlia Necklace,965.0,
James Earrings,180.0,
