Livraison,total_revenue,avg_order_value,order_count,unique_customers
France,458384.0,550.9423076923077,832,699
États-Unis,128205.0,1134.5575221238937,113,96
Suisse,53991.0,885.0983606557377,61,30
Royaume-Uni,45955.0,666.0144927536232,69,55
Allemagne,32355.0,719.0,45,32
Belgique,26315.0,657.875,40,31
Italie,23428.0,544.8372093023256,43,25
Espagne,19800.0,565.7142857142857,35,30
Australie,12288.0,768.0,16,10
Canada,8550.0,855.0,10,9
Luxembourg,7065.0,642.2727272727273,11,7
Pays-Bas,6170.0,362.94117647058823,17,14
Autriche,5885.0,588.5,10,7
Portugal,5670.0,708.75,8,7
Lituanie,4920.0,546.6666666666666,9,7
Norvège,3431.0,490.14285714285717,7,7
Irlande,3340.0,556.6666666666666,6,5
Pologne,2880.0,411.42857142857144,7,6
La Réunion,2694.0,1347.0,2,2
Japon,2578.0,515.6,5,4
République tchèque,1300.0,1300.0,1,1
Lettonie,1200.0,1200.0,1,1
Danemark,1085.0,361.6666666666667,3,3
Grèce,930.0,465.0,2,2
Bulgarie,880.0,880.0,1,1
Hongrie,625.0,208.33333333333334,3,1
Martinique,508.0,508.0,1,1
Roumanie,310.0,310.0,1,1
Singapour,237.0,237.0,1,1
