Date,monthly_revenue,monthly_orders,monthly_unique_customers,monthly_aov,monthly_new_customers,monthly_returning_customers,monthly_churn_rate,monthly_refunds_count,monthly_refunds_amount,monthly_cancellations_count,monthly_cancellations_amount,monthly_top_payment_method,monthly_top_country
2021-04-01,,,,,34.0,0.0,,,,,,,
2021-04-30,15100.0,34.0,34.0,444.11764705882354,,,,,,,,Card via Stripe,France
2021-05-01,,,,,18.0,1.0,0.9705882352941176,,,,,,
2021-05-31,8262.0,19.0,19.0,434.8421052631579,,,,,,,,Card via Stripe,France
2021-06-01,,,,,18.0,1.0,1.0,,,,,,
2021-06-30,9317.0,19.0,19.0,490.36842105263156,,,,1.0,1190.0,1.0,500.0,Card via Stripe,France
2021-07-01,,,,,22.0,1.0,1.0,,,,,,
2021-07-31,12347.0,25.0,23.0,493.88,,,,1.0,790.0,0.0,0.0,Card via Stripe,France
2021-08-01,,,,,14.0,2.0,0.9565217391304348,,,,,,
2021-08-31,7771.0,16.0,16.0,485.6875,,,,1.0,508.0,1.0,0.0,Card via Stripe,France
2021-09-01,,,,,28.0,5.0,0.875,,,,,,
2021-09-30,13468.0,34.0,33.0,396.11764705882354,,,,1.0,1160.0,2.0,1475.0,Card via Stripe,France
2021-10-01,,,,,12.0,4.0,1.0,,,,,,
2021-10-31,6826.0,16.0,16.0,426.625,,,,1.0,230.0,0.0,0.0,Card via Stripe,France
2021-11-01,,,,,25.0,3.0,1.0,,,,,,
2021-11-30,16714.0,29.0,28.0,576.3448275862069,,,,3.0,1260.0,1.0,2242.0,Card via Stripe,France
2021-12-01,,,,,77.0,4.0,0.9285714285714286,,,,,,
2021-12-31,41530.0,87.0,81.0,477.35632183908046,,,,5.0,5997.0,2.0,555.0,Card via Stripe,France
2022-01-01,,,,,23.0,7.0,0.9876543209876543,,,,,,
2022-01-31,19938.0,30.0,30.0,664.6,,,,6.0,5630.0,0.0,0.0,Card via Stripe,France
2022-02-01,,,,,19.0,4.0,1.0,,,,,,
2022-02-28,15573.0,23.0,23.0,677.0869565217391,,,,1.0,490.0,0.0,0.0,Card via Stripe,France
2022-03-01,,,,,22.0,4.0,0.9565217391304348,,,,,,
2022-03-31,11283.0,28.0,26.0,402.9642857142857,,,,2.0,950.0,0.0,0.0,Card via Stripe,France
2022-04-01,,,,,17.0,4.0,0.9230769230769231,,,,,,
2022-04-30,12162.0,22.0,21.0,552.8181818181819,,,,0.0,0.0,0.0,0.0,Card via Stripe,France
2022-05-01,,,,,24.0,4.0,0.9047619047619048,,,,,,
2022-05-31,17932.0,32.0,28.0,560.375,,,,0.0,0.0,2.0,2550.0,Card via Stripe,France
2022-06-01,,,,,24.0,5.0,0.9285714285714286,,,,,,
2022-06-30,17617.0,30.0,29.0,587.2333333333333,,,,4.0,2937.0,1.0,195.0,Card via Stripe,France
2022-07-01,,,,,17.0,1.0,1.0,,,,,,
2022-07-31,9228.0,18.0,18.0,512.6666666666666,,,,0.0,0.0,0.0,0.0,Card via Stripe,France
2022-08-01,,,,,17.0,1.0,1.0,,,,,,
2022-08-31,12755.0,19.0,18.0,671.3157894736842,,,,2.0,4070.0,0.0,0.0,Card via Stripe,France
2022-09-01,,,,,25.0,6.0,1.0,,,,,,
2022-09-30,32952.0,35.0,31.0,941.4857142857143,,,,3.0,2340.0,0.0,0.0,Card via Stripe,États-Unis
2022-10-01,,,,,20.0,5.0,0.9354838709677419,,,,,,
2022-10-31,20530.0,26.0,25.0,789.6153846153846,,,,3.0,2820.0,0.0,0.0,Card via Stripe,France
2022-11-01,,,,,23.0,6.0,0.92,,,,,,
2022-11-30,22945.0,31.0,29.0,740.1612903225806,,,,2.0,900.0,0.0,0.0,Card via Stripe,France
2022-12-01,,,,,43.0,5.0,0.9655172413793104,,,,,,
2022-12-31,30637.0,50.0,48.0,612.74,,,,3.0,1005.0,0.0,0.0,Card via Stripe,France
2023-01-01,,,,,34.0,8.0,1.0,,,,,,
2023-01-31,29729.0,46.0,42.0,646.2826086956521,,,,0.0,0.0,1.0,290.0,Card via Stripe,France
2023-02-01,,,,,21.0,9.0,0.8809523809523809,,,,,,
2023-02-28,21130.0,30.0,30.0,704.3333333333334,,,,3.0,1645.0,0.0,0.0,Card via Stripe,France
2023-03-01,,,,,20.0,6.0,0.9333333333333333,,,,,,
2023-03-31,16112.0,28.0,26.0,575.4285714285714,,,,3.0,3075.0,0.0,0.0,Card via Stripe,France
2023-04-01,,,,,18.0,4.0,0.9230769230769231,,,,,,
2023-04-30,14050.0,22.0,22.0,638.6363636363636,,,,2.0,1100.0,0.0,0.0,Card via Stripe,France
2023-05-01,,,,,25.0,5.0,0.9545454545454546,,,,,,
2023-05-31,24350.0,35.0,30.0,695.7142857142857,,,,0.0,0.0,1.0,990.0,Card via Stripe,France
2023-06-01,,,,,15.0,7.0,0.8666666666666667,,,,,,
2023-06-30,28306.0,26.0,22.0,1088.6923076923076,,,,1.0,995.0,1.0,980.0,Card via Stripe,France
2023-07-01,,,,,33.0,6.0,0.9090909090909091,,,,,,
2023-07-31,34661.0,41.0,39.0,845.390243902439,,,,4.0,10200.0,0.0,0.0,Card via Stripe,France
2023-08-01,,,,,12.0,4.0,0.9487179487179487,,,,,,
2023-08-31,10942.0,16.0,16.0,683.875,,,,0.0,0.0,0.0,0.0,Card via Stripe,France
2023-09-01,,,,,22.0,7.0,0.9375,,,,,,
2023-09-30,18259.0,30.0,29.0,608.6333333333333,,,,0.0,0.0,0.0,0.0,Card via Stripe,France
2023-10-01,,,,,19.0,2.0,1.0,,,,,,
2023-10-31,23185.0,22.0,21.0,1053.8636363636363,,,,2.0,2635.0,0.0,0.0,Card via Stripe,France
2023-11-01,,,,,23.0,9.0,0.9047619047619048,,,,,,
2023-11-30,17794.0,32.0,32.0,556.0625,,,,1.0,270.0,0.0,0.0,Card via Stripe,France
2023-12-01,,,,,72.0,12.0,0.9375,,,,,,
2023-12-31,54995.0,89.0,84.0,617.9213483146067,,,,5.0,2150.0,0.0,0.0,Card via Stripe,France
2024-01-01,,,,,20.0,3.0,0.9647058823529412,,,,,,
2024-01-31,12602.0,24.0,23.0,525.0833333333334,,,,3.0,1740.0,0.0,0.0,Card via Stripe,France
2024-02-01,,,,,20.0,7.0,0.9583333333333334,,,,,,
2024-02-29,15209.0,27.0,27.0,563.2962962962963,,,,4.0,2572.0,0.0,0.0,Card via Stripe,France
2024-03-01,,,,,16.0,6.0,0.9259259259259259,,,,,,
2024-03-31,17175.0,23.0,22.0,746.7391304347826,,,,4.0,1745.0,1.0,195.0,Card via Stripe,France
2024-04-01,,,,,16.0,5.0,0.9545454545454546,,,,,,
2024-04-30,12940.0,21.0,21.0,616.1904761904761,,,,2.0,815.0,0.0,0.0,Card via Stripe,France
2024-05-01,,,,,18.0,6.0,0.9523809523809523,,,,,,
2024-05-31,13222.0,24.0,24.0,550.9166666666666,,,,2.0,1620.0,0.0,0.0,Card via Stripe,France
2024-06-01,,,,,25.0,2.0,0.9583333333333334,,,,,,
2024-06-30,18202.0,27.0,27.0,674.1481481481482,,,,1.0,235.0,0.0,0.0,Card via Stripe,France
2024-07-01,,,,,16.0,5.0,1.0,,,,,,
2024-07-31,18870.0,21.0,21.0,898.5714285714286,,,,2.0,2490.0,0.0,0.0,Card via Stripe,France
2024-08-01,,,,,10.0,2.0,0.9523809523809523,,,,,,
2024-08-31,5815.0,13.0,12.0,447.3076923076923,,,,3.0,910.0,0.0,0.0,Card via Stripe,France
2024-09-01,,,,,25.0,5.0,1.0,,,,,,
2024-09-30,21315.0,30.0,30.0,710.5,,,,1.0,280.0,0.0,0.0,Card via Stripe,France
2024-10-01,,,,,23.0,8.0,0.9666666666666667,,,,,,
2024-10-31,24972.0,32.0,31.0,780.375,,,,1.0,1780.0,1.0,760.0,Card via Stripe,France
2024-11-01,,,,,29.0,2.0,1.0,,,,,,
2024-11-30,23590.0,32.0,31.0,737.1875,,,,3.0,1775.0,,,Card via Stripe,France
2024-12-01,,,,,37.0,8.0,1.0,,,,,,
2024-12-31,28667.0,46.0,45.0,623.195652173913,,,,,,,,Card via Stripe,France
