date,pv_ttc
2021-03-29,2340.0
2021-04-01,230.0
2021-04-03,370.0
2021-04-04,1470.0
2021-04-05,230.0
2021-04-07,1270.0
2021-04-09,200.0
2021-04-10,710.0
2021-04-12,855.0
2021-04-13,-490.0
2021-04-14,615.0
2021-04-15,2021.67
2021-04-16,1267.0
2021-04-17,260.0
2021-04-18,310.0
2021-04-19,616.67
2021-04-21,610.0
2021-04-22,415.0
2021-04-24,660.0
2021-04-26,620.0
2021-04-29,300.0
2021-04-30,1035.0
2021-05-01,930.0
2021-05-02,200.0
2021-05-03,590.0
2021-05-06,1200.0
2021-05-07,760.0
2021-05-09,310.0
2021-05-11,370.0
2021-05-13,180.0
2021-05-17,450.0
2021-05-18,1767.0
2021-05-20,180.0
2021-05-21,266.67
2021-05-26,610.0
2021-06-01,680.0
2021-06-02,180.0
2021-06-04,1010.0
2021-06-08,240.0
2021-06-10,614.74
2021-06-12,315.0
2021-06-16,2115.0
2021-06-17,580.0
2021-06-18,-500.0
2021-06-22,200.0
2021-06-25,1189.68
2021-06-29,180.0
2021-06-30,1210.0
2021-07-01,1255.0
2021-07-02,770.83
2021-07-03,508.33
2021-07-07,570.0
2021-07-08,2885.0
2021-07-09,-1190.0
2021-07-11,790.0
2021-07-12,230.0
2021-07-14,762.5
2021-07-18,210.0
2021-07-19,1530.0
2021-07-20,210.0
2021-07-22,610.0
2021-07-24,600.0
2021-07-26,555.0
2021-07-27,580.0
2021-07-30,-560.0
2021-08-01,530.0
2021-08-02,508.33
2021-08-03,1530.0
2021-08-05,805.0
2021-08-07,650.0
2021-08-08,210.0
2021-08-10,-1080.0
2021-08-18,1390.0
2021-08-21,200.0
2021-08-23,1638.33
2021-08-24,240.0
2021-08-26,650.0
2021-08-29,200.0
2021-08-31,300.0
2021-09-02,790.0
2021-09-03,230.0
2021-09-04,720.0
2021-09-05,880.0
2021-09-07,100.0
2021-09-09,1350.0
2021-09-13,140.0
2021-09-14,210.0
2021-09-15,1290.0
2021-09-17,1400.0
2021-09-19,508.33000000000004
2021-09-20,1200.0
2021-09-21,180.0
2021-09-23,380.0
2021-09-24,-1290.0
2021-09-25,141.67
2021-09-27,2025.0
2021-09-28,988.0
2021-09-29,430.0
2021-09-30,-508.33
2021-10-01,1921.67
2021-10-03,408.33
2021-10-10,705.0
2021-10-11,155.0
2021-10-14,230.0
2021-10-15,280.0
2021-10-16,408.33
2021-10-18,215.48
2021-10-19,250.0
2021-10-20,180.0
2021-10-25,420.0
2021-10-28,833.33
2021-10-31,490.0
2021-11-02,3351.18
2021-11-04,745.0
2021-11-06,500.0
2021-11-08,380.0
2021-11-12,226.88
2021-11-13,475.0
2021-11-15,1440.0
2021-11-17,371.66999999999996
2021-11-19,950.0
2021-11-20,400.0
2021-11-21,525.04
2021-11-22,875.0
2021-11-25,1100.0
2021-11-26,790.0
2021-11-27,230.0
2021-11-28,400.0
2021-11-29,190.0
2021-11-30,3012.5
2021-12-01,1745.0
2021-12-02,601.03
2021-12-03,1694.57
2021-12-04,1110.0
2021-12-05,905.0
2021-12-06,330.0
2021-12-07,495.9499999999998
2021-12-08,1700.0
2021-12-09,593.33
2021-12-10,3620.0
2021-12-11,1220.0
2021-12-12,2591.67
2021-12-13,955.0
2021-12-14,7311.67
2021-12-15,1714.9099999999999
2021-12-16,1187.76
2021-12-17,1335.12
2021-12-18,400.0
2021-12-19,200.0
2021-12-20,3357.13
2021-12-21,884.0
2021-12-22,330.0
2021-12-23,-220.0
2021-12-25,660.97
2021-12-27,150.0
2021-12-28,200.0
2022-01-02,2294.1800000000003
2022-01-05,190.0
2022-01-06,340.0
2022-01-08,280.0
2022-01-10,2100.0
2022-01-11,-30.0
2022-01-16,440.0
2022-01-17,0.0
2022-01-18,-804.6700000000001
2022-01-19,1000.0
2022-01-20,-1350.0
2022-01-22,155.0
2022-01-23,360.0
2022-01-24,640.0
2022-01-25,1780.0
2022-01-26,180.0
2022-01-27,1150.0
2022-01-28,590.0
2022-01-30,2140.0
2022-01-31,208.33
2022-02-01,-80.0
2022-02-02,200.0
2022-02-03,180.0
2022-02-07,-590.0
2022-02-08,300.0
2022-02-10,683.0899999999999
2022-02-11,1145.0
2022-02-12,230.0
2022-02-14,890.0
2022-02-16,1215.0
2022-02-17,240.0
2022-02-19,740.0
2022-02-20,2451.52
2022-02-22,3048.33
2022-02-23,880.0
2022-02-26,230.0
2022-02-27,1300.0
2022-03-01,1461.91
2022-03-04,260.0
2022-03-05,860.0
2022-03-06,450.0
2022-03-08,320.0
2022-03-09,480.0
2022-03-10,1230.0
2022-03-11,730.0
2022-03-12,733.33
2022-03-14,180.0
2022-03-16,-180.0
2022-03-17,245.0
2022-03-20,491.66999999999996
2022-03-21,1268.33
2022-03-25,350.0
2022-03-29,580.0
2022-03-31,380.0
2022-04-03,860.0
2022-04-04,2420.0
2022-04-05,940.0
2022-04-07,500.0
2022-04-08,230.0
2022-04-11,870.0
2022-04-13,380.0
2022-04-14,1151.67
2022-04-16,680.0
2022-04-19,690.0
2022-04-20,208.33
2022-04-25,480.0
2022-04-26,780.0
2022-04-28,1541.67
2022-04-29,360.0
2022-05-01,440.0
2022-05-05,1590.0
2022-05-06,800.0
2022-05-07,1470.0
2022-05-09,2360.45
2022-05-11,566.67
2022-05-12,400.0
2022-05-15,150.0
2022-05-16,2631.67
2022-05-17,405.0
2022-05-18,440.0
2022-05-19,1310.0
2022-05-20,230.0
2022-05-21,530.0
2022-05-22,183.33
2022-05-24,-1460.0
2022-05-25,-210.0
2022-05-27,380.0
2022-05-28,590.0
2022-05-30,850.0
2022-05-31,470.0
2022-06-01,1280.0
2022-06-02,1195.8400000000001
2022-06-03,575.0
2022-06-04,710.0
2022-06-05,1430.0
2022-06-08,860.0
2022-06-10,1090.0
2022-06-12,266.67
2022-06-13,0.0
2022-06-14,475.0
2022-06-15,810.0
2022-06-17,210.0
2022-06-18,450.0
2022-06-19,0.0
2022-06-21,240.0
2022-06-24,2030.0
2022-06-25,930.0
2022-06-26,153.0
2022-06-27,228.05
2022-06-28,2890.0
2022-06-30,930.0
2022-07-01,607.0
2022-07-04,2290.0
2022-07-05,540.0
2022-07-10,-1390.0
2022-07-12,460.0
2022-07-13,810.0
2022-07-18,915.0
2022-07-21,610.0
2022-07-25,-110.0
2022-07-26,760.0
2022-07-27,230.0
2022-07-28,678.33
2022-08-02,1380.0
2022-08-03,322.77
2022-08-05,310.0
2022-08-07,429.98
2022-08-08,1090.42
2022-08-10,1620.0
2022-08-18,842.4200000000001
2022-08-19,550.0
2022-08-20,579.68
2022-08-25,3630.0
2022-08-27,440.0
2022-08-29,770.0
2022-08-30,299.79
2022-08-31,405.0
2022-09-03,240.0
2022-09-04,1300.0
2022-09-05,-1480.0
2022-09-06,2160.0
2022-09-07,510.0
2022-09-08,515.93
2022-09-11,1048.3899999999999
2022-09-12,2824.44
2022-09-13,260.0
2022-09-14,3167.01
2022-09-15,8416.119999999999
2022-09-16,720.0
2022-09-17,1560.0
2022-09-20,3955.0
2022-09-22,1467.4
2022-09-23,380.0
2022-09-25,1910.0
2022-09-27,230.0
2022-09-28,1110.0
2022-09-29,530.0
2022-09-30,-440.0
2022-10-01,2220.0
2022-10-02,880.0
2022-10-03,25.0
2022-10-04,-220.0
2022-10-07,3740.0
2022-10-08,680.0
2022-10-10,180.0
2022-10-12,-260.0
2022-10-13,720.0
2022-10-14,-220.0
2022-10-17,4364.85
2022-10-19,680.0
2022-10-20,900.0
2022-10-25,3900.0
2022-10-27,260.0
2022-10-29,260.0
2022-10-31,590.0
2022-11-01,180.0
