metric,value
basic_kpis_total_orders,1360
basic_kpis_total_revenue,860979.0
basic_kpis_unique_customers,1091
basic_kpis_avg_orders_per_customer,1.2465627864344637
average_order_value,633.072794117647
order_value_distribution_min,0.0
order_value_distribution_max,8650.0
order_value_distribution_median,440.0
order_value_distribution_mean,633.072794117647
order_value_distribution_std,598.8152872066097
order_value_distribution_25%_quartile,260.0
order_value_distribution_75%_quartile,730.0
cart_abandonment_rate,100.0
customer_lifetime_value,9449.090173612982
churn_rate,89.36755270394133
revenue_concentration_top_10pct_revenue_concentration,32.17720757416848
revenue_concentration_top_10pct_revenue,277039.0
refund_analysis_refund_rate,5.514705882352941
refund_analysis_cancellation_rate,1.1029411764705883
refund_analysis_revenue_lost_refunds,54142.0
refund_analysis_revenue_refund_pct,6.288422830289705
refund_analysis_revenue_lost_cancellations,10732.0
refund_analysis_revenue_cancel_pct,1.2464880095797923
year_over_year_revenue,"   year  total_revenue  yoy_growth
0  2021       131335.0         NaN
1  2022       223552.0   70.215099
2  2023       293513.0   31.295180
3  2024       212579.0  -27.574247"
year_over_year_orders,"   year  total_orders  yoy_growth
0  2021           279         NaN
1  2022           344   23.297491
2  2023           417   21.220930
3  2024           320  -23.261391"
year_over_year_aov,"   year  yearly_aov  yoy_growth
0  2021  470.734767         NaN
1  2022  649.860465   38.052362
2  2023  703.868106    8.310652
3  2024  664.309375   -5.620191"
