id,SFA,lib,EAN,qty,Factory Price,Group Price,RETAIL,RETAIL_US
918,Creoles,"LARA AR - PRESTA JAMES Argent doré ",3666023008545,4,"22,33",67,180,270
1313,Collier,"KIM black Argent doré or fin ",3666023012252,1,36,108,295,420
1723,Bague,"COEUR SIMPLE Argent doré or fin 51",3666023016281,1,"7,06",50,120,200
1724,Bague,"COEUR SIMPLE Argent doré or fin 53",3666023016298,1,"7,06",50,120,200
1729,Bague,"HEARTIE Diamant 51",3666023016335,1,"20,20",62,170,240
1730,Bague,"HEARTIE Diamant 53",3666023016342,1,"20,20",62,170,240
1744,Bague,"GITANE rubis turquoise diam 51",3666023016489,1,"28,63",94,255,370
1745,Bague,"GITANE rubis turquoise diam 53",3666023016496,1,"28,63",94,255,370
1754,Bague,"KRISS Turquoise 51",3666023016588,1,"36,19",120,325,470
2093,"Boucles d'oreilles","WILMA  diam on GS ",3666023019961,1,"35,00",150,405,590
2507,Emballage,"Sac Shopper Small Noir-Black ",3666023023999,-1,"0,82",0,0,0
2713,Emballage,"BOITE SMALL black gold-black gold ",3666023025931,-19,"0,46",1,3,10
2714,Emballage,"BOITE LARGE black gold-black gold ",3666023025948,7,"0,80",0,0,0
2767,Collier,"JIM turquoise ",3666023026471,1,"26,88",85,230,330
2812,Bague,"EDNA Quartz rutile 55",3666023026921,1,"33,21",105,285,410
3117,Collier,"MAYOU TURQ. or 14K turquoise ",3666023029670,1,"55,80",155,420,600
3205,Emballage,"BOITE MEDIUM black gold-black gold ",3666023030331,-23,"0,57",2,5,10
3316,Creoles,"HOBI Argent Oxydé - Or 14k - Diamant ",3666023031321,2,"123,05",370,995,1440
3596,"Boucles d'oreilles","WYLL or 14K diamant ",3666023033844,1,"69,96",235,630,920
3791,Bague,"JAY XL Or 14k 51",3666023035688,1,"97,48",293,790,1140
3792,Bague,"JAY XL Or 14k 53",3666023035695,3,"97,48",293,790,1140
3793,Bague,"JAY XL Or 14k 55",3666023035701,1,"97,48",293,790,1140
3794,Bracelet,"BYRON Or 14k - Diamant ",3666023035718,1,"410,39",1328,3590,5180
3796,Collier,"DALE Topaze ",3666023035732,1,"195,92",752,2030,2930
3822,Bague,"BETA Argent doré or fin 51",3666023035978,1,"54,36",164,440,640
3823,Bague,"BETA Argent doré or fin 53",3666023035985,2,"54,36",164,440,640
3824,Bague,"BETA Argent doré or fin 55",3666023035992,1,"54,36",164,440,640
3826,Bague,"BETA Burnt Grey 53",3666023036012,1,"54,36",164,440,640
3844,"Boucles d'oreilles","OTIS Or 14k - saphir ",3666023036197,1,"51,89",157,425,610
4092,"Boucles d'oreilles","DYE 2 Argent doré or fin ",3666023038610,2,"22,11",72,190,280
4093,"Boucles d'oreilles","DYE 2 Burnt Grey ",3666023038627,1,"22,11",72,190,280
4241,"Boucles d'oreilles","KAD D. Argent Oxydé - Or 14k - Diamant ",3666023040019,1,"160,78",355,960,1380
4341,"Boucles d'oreilles","BUMA LAPIS Lapis lazuli ",3666023040835,1,"36,76",116,310,450
4420,Collier,"KAORU 2 Vermeil - Or 14k - multi ",3666023041559,1,"54,70",197,530,770
4422,Collier,"JOJO Argent Oxydé - Or 14k - Diamant ",3666023041573,1,"164,69",485,1310,1890
4475,Collier,"MINI LOOP Pierre de Lune ",3666023042075,1,"13,81",45,120,180
4728,Bague,"VICTORIA XL  Argent Oxydé - Or 14k 51",3666023044536,1,"262,14",715,1930,2790
4729,Bague,"VICTORIA XL  Argent Oxydé - Or 14k 53",3666023044543,2,"262,14",715,1930,2790
4730,Bague,"VICTORIA XL  Argent Oxydé - Or 14k 55",3666023044550,1,"262,14",715,1930,2790
4865,"Boucles d'oreilles","FIVE SPI Or 14k ",3666023045830,1,"164,66",660,1780,2570
4867,Collier,"ARETHA Argent Oxydé - Or 14k - Diamant ",3666023045854,2,"453,35",1585,4280,6180
4868,Collier,"ANGIE blue Or 14k ",3666023045861,1,"349,07",995,2690,3880
4878,Collier,"SUZAN L Argent doré or fin ",3666023045960,1,"44,12",145,390,570
5147,Collier,"ANGIE WHITE Or 14k ",3666023048626,1,"354,70",1015,2740,3960
5181,Bague,"DOUBLE EMER N°2 2,4CT T53 Or 14k ",3666023048923,1,"248,43",935,2520,3650
5366,Bague,"CIT RING Argent doré or fin 51",3666023050728,1,"41,53",110,300,430
5367,Bague,"CIT RING Argent doré or fin 53",3666023050735,1,"41,53",110,300,430
5368,Bague,"CIT RING Argent doré or fin 55",3666023050742,1,"41,53",110,300,430
5416,Bague,"WHITE AQUA RING Or 14k 55",3666023051138,1,"240,27",841,2270,3280
5422,Bague,"RUBY n°2 Or 14k ",3666023051190,1,"241,99",845,2280,3300
5676,"Boucles d'oreilles","JAKIE emer Or 14k - emerald ",3666023053644,1,"126,41",435,1170,1700
5750,"Boucles d'oreilles","JAKIE D. Or 14k - Diamant ",3666023054344,1,"159,12",480,1300,1870
5774,"Boucles d'oreilles","MALO short  Or 14k - emerald ",3666023054535,1,"242,56",810,2190,3160
5805,Collier,"MALO  Or 14k - emerald ",3666023054825,1,"152,31",380,1030,1480
5813,Collier,"MAXY D Argent doré ",3666023054900,1,"39,09",115,310,450
5871,"Boucles d'oreilles","MALO long Argent Oxydé - Or 14k ",3666023055471,1,"344,45",1165,3150,4540
5927,"Boucle d'oreille","SCOTT blue (ONE)* Or 14k ",3666023055976,1,"157,62",375,1010,1460
5928,"Boucle d'oreille","SCOTT WHITE (ONE)* Or 14k ",3666023055983,1,"163,07",460,1240,1790
5932,Collier,"SCOTTY WHITE * Or 14k - saphir ",3666023056010,1,"163,99",480,1300,1870
5961,Bague,"MALO  Or 14k - emerald 51",3666023056256,1,"173,58",660,1780,2570
5962,Bague,"MALO  Or 14k - emerald 53",3666023056263,2,"173,58",660,1780,2570
5963,Bague,"MALO  Or 14k - emerald 55",3666023056270,1,"173,58",660,1780,2570
6148,Collier,"MALLORY  Or 14k - Tourmaline ",3666023057970,1,"135,32",640,1730,2500
6149,"Boucles d'oreilles","JOJO  Argent Oxydé - Or 14k - Diamant ",3666023057987,1,"323,23",775,2090,3030
6326,"Boucles d'oreilles","NOLAN Or 14k ",3666023059592,1,"139,32",298,805,1160
6343,Bracelet,"GIL Argent doré or fin ",3666023059745,1,"31,72",56,155,220
6411,Bague,"PHILO Argent doré or fin 51",3666023060369,1,"49,03",148,400,580
6412,Bague,"PHILO Argent doré or fin 53",3666023060376,2,"49,03",148,400,580
6413,Bague,"PHILO Argent doré or fin 55",3666023060383,1,"49,03",148,400,580
6422,"Boucles d'oreilles","ENZO Argent doré or fin ",3666023060475,1,"50,33",180,490,700
6426,Collier,"EMILIO Argent doré or fin ",3666023060512,1,"28,06",99,270,390
6428,Bague,"PETER Argent doré or fin 53",3666023060536,1,"66,30",200,540,780
6429,Bague,"PETER Argent doré or fin 55",3666023060543,1,"66,30",200,540,780
6480,Bague,"LEO Or 14k - Diamant 51",3666023061045,1,"207,17",403,1090,1570
6481,Bague,"LEO Or 14k - Diamant 53",3666023061052,1,"207,17",403,1090,1570
6482,Bague,"LEO Or 14k - Diamant 55",3666023061069,1,"207,17",403,1090,1570
6489,Collier,"JUDD Edition Limitée Argent doré or ",3666023061137,1,"67,41",250,670,975
6511,"Boucle d'oreille","SCOTT pink * Or 14k ",3666023061342,1,"116,36",390,1050,1520
6557,Collier,"JON Argent doré or fin ",3666023061809,1,"65,26",200,540,780
6560,"Boucles d'oreilles","ROY Argent doré or fin ",3666023061830,1,"51,83",170,460,670
6565,Bague,"JED Argent doré or fin 51",3666023061878,1,"25,16",80,220,310
6566,Bague,"JED Argent doré or fin 53",3666023061885,1,"25,16",80,220,310
6567,Bague,"JED Argent doré or fin 55",3666023061892,1,"25,16",80,220,310
6571,Bague,"CORY Or 14k - aigue marine 51",3666023061939,1,"142,94",250,680,980
6572,Bague,"CORY Or 14k - aigue marine 53",3666023061946,1,"142,94",250,680,980
6573,Bague,"CORY Or 14k - aigue marine 55",3666023061953,1,"142,94",250,680,980
6581,Collier,"KERRY Or 14k ",3666023062035,1,"80,03",255,690,1000
6582,Collier,"SIMON Or 14k - Diamant ",3666023062042,1,"114,63",505,1360,1970
6583,Collier,"VIC Or 14k - citrine ",3666023062059,1,"224,78",625,1690,2440
6584,Collier,"IAN Argent doré ",3666023062066,1,"33,05",110,300,430
6618,Bracelet,"JANICE Argent doré or fin ",3666023062400,2,"35,19",95,260,370
6632,Bracelet,"CADET Argent doré ",3666023062547,1,"52,77",204,550,800
6653,Bracelet,"GAIL jaspe Argent doré or fin ",3666023062752,1,"71,62",220,590,860
6654,Collier,"HAWK jaspe Argent doré or ",3666023062769,1,"66,93",200,540,780
6688,Bague,"AZUR n°3 T57 Argent Oxydé - Or 14k - Diamant ",3666023063094,1,"328,56",985,2660,3850
6689,Bague,"ANN (T55) Argent Oxydé - Or 14k - Diamant ",3666023063100,1,"343,09",1030,2780,4310
6698,Bracelet,"GAIL turquoise Argent doré or fin ",3666023063193,1,"74,62",219,590,860
6699,Collier,"HAWK turquoise Argent doré or ",3666023063209,1,"69,89",200,540,780
6821,"Boucles d'oreilles","FLORA AQUA long  Or 14k - saphir ",3666023064398,1,"258,55",660,1780,2570
6825,"Boucles d'oreilles","PAOLA 33 Or 14k ",3666023064435,1,"254,92",730,1970,2850
6828,Collier,"FLORA MORGA Or 14k - Morganite ",3666023064466,1,"82,84",235,630,920
6830,Collier,"FLORA BLUE Or 14k - saphir ",3666023064480,1,"86,37",260,700,1010
6855,"Boucles d'oreilles","26F Or 14k ",3666023064718,2,"123,65",435,1170,1700
6878,"Boucles d'oreilles","FLORA MORGA Or 14k - Morganite ",3666023064947,1,"122,89",330,890,1290
6879,"Boucles d'oreilles","FLORA BLUE Or 14k - saphir ",3666023064954,1,"140,90",390,1050,1520
6887,Bracelet,"ELLIE D. Or 14k - Diamant ",3666023065036,1,"330,24",890,2400,3470
6893,"Boucles d'oreilles","ARY Argent doré or fin ",3666023065098,1,"45,45",140,380,550
6895,Bague,"JAKIE RING  Or 14k - Diamant 51",3666023065111,1,"182,73",595,1610,2320
6896,Bague,"JAKIE RING  Or 14k - Diamant 53",3666023065128,1,"182,73",595,1610,2320
6897,Bague,"JAKIE RING  Or 14k - Diamant 55",3666023065135,1,"182,73",595,1610,2320
6898,Bague,"BAND Or 14k - Diamant 51",3666023065142,1,"288,17",840,2270,3280
6899,Bague,"BAND Or 14k - Diamant 53",3666023065159,1,"288,17",840,2270,3280
6900,Bague,"BAND Or 14k - Diamant 55",3666023065166,1,"288,17",840,2270,3280
6906,Bague,"EKI GOLD Or 14k 51",3666023065227,1,"145,10",350,790,1370
6907,Bague,"EKI GOLD Or 14k 53",3666023065234,1,"145,10",350,790,1370
6908,Bague,"EKI GOLD Or 14k 55",3666023065241,1,"145,10",350,790,1370
7013,"Boucles d'oreilles","TRILO* Or 14k - citrine ",3666023066279,2,"45,72",140,380,550
7014,Collier,"BLONDIE* Or 14k - citrine ",3666023066286,1,"74,00",192,520,750
7015,"Boucles d'oreilles","BLONDIE **  Or 14k - citrine ",3666023066293,1,"97,03",260,700,1010
7017,Collier,"SILOE* Or 14k - Diamant ",3666023066316,1,"155,73",410,1110,1600
7021,"Boucles d'oreilles","101M Or 14k ",3666023066354,1,"154,37",550,1490,2150
7045,Bague,"ANJO G. Diamant 51",3666023066590,1,"145,42",460,1240,1790
7046,Bague,"ANJO G. Diamant 53",3666023066606,1,"145,42",460,1240,1790
7047,Bague,"ANJO G. Diamant 55",3666023066613,1,"145,42",460,1240,1790
7048,"Boucles d'oreilles","JAKIE LONG Or 14k ",3666023066620,1,"232,28",665,1800,2590
7077,Bracelet,"DANY GS Argent doré or ",3666023066897,1,"127,46",385,1040,1500
